# id	zone_id	english_name	english_country	english_sort	chinese_name	chinese_country	chinese_sort	search_aliases
201000921	Africa/Djibouti	Djibouti	Djibouti	Djibouti	吉布提	吉布提	ji bu ti	djibouti | 吉布提 djibouti jibuti | jbt | 布提 buti 提 ti
201000922	Asia/Karachi	Karachi	Pakistan	Karachi	卡拉奇	巴基斯坦	ka la qi	karachi | 卡拉奇 karachi kalaqi | klq | 拉奇 laqi 奇 qi | pakistan | 巴基斯坦 pakistan bajisitan | bjst | 基斯坦 jisitan 斯坦 sitan 坦 tan
201000764	Asia/Kathmandu	Kathmandu	Nepal	Kathmandu	加德满都	尼泊尔	jia de man du	kathmandu | 加德满都 kathmandu jiademandu | jdmd | 德满都 demandu 满都 mandu 都 du | nepal | 尼泊尔 nepal niboer | nbe | 泊尔 boer 尔 er
201000193	Asia/Kuala_Lumpur	Kuala Lumpur	Malaysia	Kuala Lumpur	吉隆坡	马来西亚	ji long po	kuala lumpur | 吉隆坡 kuala lumpur jilongpo | kl | jlp | lumpur | 隆坡 longpo 坡 po | malaysia | 马来西亚 malaysia malaixiya | mlxy | 来西亚 laixiya 西亚 xiya 亚 ya
201000923	Asia/Kuwait	Kuwait	Kuwait	Kuwait	科威特	科威特	ke wei te	kuwait | 科威特 kuwait keweite | kwt | 威特 weite 特 te
101330101	Asia/Macau	Macau	China	Macau	澳门	中国	ao men	macau | 澳门 macau aomen | am | 门 men | china | 中国 china zhongguo | zg | 国 guo
201000627	Asia/Manila	Manila	Philippines	Manila	马尼拉	菲律宾	ma ni la	manila | 马尼拉 manila manila | mnl | 尼拉 nila 拉 la | philippines | 菲律宾 philippines feilübin | flb | 律宾 lübin 宾 bin
201000924	Asia/Muscat	Muscat	Oman	Muscat	马斯喀特	阿曼	ma si ka te	muscat | 马斯喀特 muscat masikate | mskt | 斯喀特 sikate 喀特 kate 特 te | oman | 阿曼 oman aman | am | 曼 man
201000524	Asia/Phnom_Penh	Phnom Penh	Cambodia	Phnom Penh	金边	柬埔寨	jin bian	phnom penh | 金边 phnom penh jinbian | pp | jb | penh | 边 bian | cambodia | 柬埔寨 cambodia jianpuzhai | jpz | 埔寨 puzhai 寨 zhai
201000512	Asia/Pyongyang	Pyongyang	North Korea	Pyongyang	平壤	朝鲜	ping rang	pyongyang | 平壤 pyongyang pingrang | pr | 壤 rang | north korea | 朝鲜 north korea chaoxian | nk | cx | korea | 鲜 xian
201000732	Africa/Freetown	Freetown	Sierra Leone	Freetown	弗里敦	塞拉利昂	fu li dun	freetown | 弗里敦 freetown fulidun | fld | 里敦 lidun 敦 dun | sierra leone | 塞拉利昂 sierra leone sailaliang | sl | slla | leone | 拉利昂 laliang 利昂 liang 昂 ang
201000533	Asia/Riyadh	Riyadh	Saudi Arabia	Riyadh	利雅得	沙特阿拉伯	li ya de	riyadh | 利雅得 riyadh liyade | lyd | 雅得 yade 得 de | saudi arabia | 沙特阿拉伯 saudi arabia shatealabo | sa | stalb | arabia | 特阿拉伯 tealabo 阿拉伯 alabo 拉伯 labo 伯 bo
201000221	Asia/Seoul	Seoul	South Korea	Seoul	首尔	韩国	shou er	seoul | 首尔 seoul shouer | se | 尔 er | south korea | 韩国 south korea hanguo | sk | hg | korea | 国 guo
101020100	Asia/Shanghai	Shanghai	China	Shanghai	上海	中国	shang hai	shanghai | 上海 shanghai shanghai | sh | 海 hai | china | 中国 china zhongguo | zg | 国 guo
201000157	Asia/Singapore	Singapore	Singapore	Singapore	新加坡	新加坡	xin jia po	singapore | 新加坡 singapore xinjiapo | xjp | 加坡 jiapo 坡 po
201000020	Asia/Taipei	Taipei	China	Taipei	台北	中国	tai bei	taipei | 台北 taipei taibei | tb | 北 bei | china | 中国 china zhongguo | zg | 国 guo
201000451	Asia/Tehran	Tehran	Iran	Tehran	德黑兰	伊朗	de hei lan	tehran | 德黑兰 tehran deheilan | dhl | 黑兰 heilan 兰 lan | iran | 伊朗 iran yilang | yl | 朗 lang
201000925	Asia/Tel_Aviv	Tel Aviv	Israel	Tel Aviv	特拉维夫	以色列	te la wei fu	tel aviv | 特拉维夫 tel aviv telaweifu | ta | tlwf | aviv | 拉维夫 laweifu 维夫 weifu 夫 fu | israel | 以色列 israel yiselie | ysl | 色列 selie 列 lie
201000197	Asia/Tokyo	Tokyo	Japan	Tokyo	东京	日本	dong jing	tokyo | 东京 tokyo dongjing | dj | 京 jing | japan | 日本 japan riben | rb | 本 ben
201000701	Africa/Gaborone	Gaborone	Botswana	Gaborone	哈博罗内	博茨瓦纳	ha bo luo nei	gaborone | 哈博罗内 gaborone haboluonei | hbln | 博罗内 boluonei 罗内 luonei 内 nei | botswana | 博茨瓦纳 botswana bociwana | bcwn | 茨瓦纳 ciwana 瓦纳 wana 纳 na
201000926	Asia/Ulaanbaatar	Ulaanbaatar	Mongolia	Ulaanbaatar	乌兰巴托	蒙古国	wu lan ba tuo	ulaanbaatar | 乌兰巴托 ulaanbaatar wulanbatuo | wlbt | 兰巴托 lanbatuo 巴托 batuo 托 tuo | mongolia | 蒙古国 mongolia mengguguo | mgg | 古国 guguo 国 guo
201000927	Atlantic/Bermuda	Bermuda	Bermuda	Bermuda	百慕大	百慕大	bai mu da	bermuda | 百慕大 bermuda baimuda | bmd | 慕大 muda 大 da
201000928	Atlantic/Canary	Canary Islands	Spain	Canary Islands	加那利群岛	西班牙	jia na li qun dao	canary islands | 加那利群岛 canary islands jianaliqundao | ci | jnlqd | islands | 那利群岛 naliqundao 利群岛 liqundao 群岛 qundao 岛 dao | spain | 西班牙 spain xibanya | xby | 班牙 banya 牙 ya
201000929	Atlantic/Cape_Verde	Cape Verde	Cape Verde	Cape Verde	佛得角	佛得角	fo de jiao	cape verde | 佛得角 cape verde fodejiao | cv | fdj | verde | 得角 dejiao 角 jiao
201000930	Atlantic/Reykjavik	Reykjavik	Iceland	Reykjavik	雷克雅未克	冰岛	lei ke ya wei ke	reykjavik | 雷克雅未克 reykjavik leikeyaweike | lkywk | 克雅未克 keyaweike 雅未克 yaweike 未克 weike 克 ke | iceland | 冰岛 iceland bingdao | bd | 岛 dao
201000931	Atlantic/Stanley	Stanley	Falkland Islands	Stanley	斯坦利	福克兰群岛	si tan li	stanley | 斯坦利 stanley sitanli | stl | 坦利 tanli 利 li | falkland islands | 福克兰群岛 falkland islands fukelanqundao | fi | fklqd | islands | 克兰群岛 kelanqundao 兰群岛 lanqundao 群岛 qundao 岛 dao
201000101	Australia/Adelaide	Adelaide	Australia	Adelaide	阿德莱德	澳大利亚	a de lai de	adelaide | 阿德莱德 adelaide adelaide | adld | 德莱德 delaide 莱德 laide 德 de | australia | 澳大利亚 australia aodaliya | adly | 大利亚 daliya 利亚 liya 亚 ya
201000094	Australia/Brisbane	Brisbane	Australia	Brisbane	布里斯班	澳大利亚	bu li si ban	brisbane | 布里斯班 brisbane bulisiban | blsb | 里斯班 lisiban 斯班 siban 班 ban | australia | 澳大利亚 australia aodaliya | adly | 大利亚 daliya 利亚 liya 亚 ya
201000099	Australia/Canberra	Canberra	Australia	Canberra	堪培拉	澳大利亚	kan pei la	canberra | 堪培拉 canberra kanpeila | kpl | 培拉 peila 拉 la | australia | 澳大利亚 australia aodaliya | adly | 大利亚 daliya 利亚 liya 亚 ya
201000108	Australia/Darwin	Darwin	Australia	Darwin	达尔文	澳大利亚	da er wen	darwin | 达尔文 darwin daerwen | dew | 尔文 erwen 文 wen | australia | 澳大利亚 australia aodaliya | adly | 大利亚 daliya 利亚 liya 亚 ya
201000932	Africa/Harare	Harare	Zimbabwe	Harare	哈拉雷	津巴布韦	ha la lei	harare | 哈拉雷 harare halalei | hll | 拉雷 lalei 雷 lei | zimbabwe | 津巴布韦 zimbabwe jinbabuwei | jbbw | 巴布韦 babuwei 布韦 buwei 韦 wei
201000090	Australia/Melbourne	Melbourne	Australia	Melbourne	墨尔本	澳大利亚	mo er ben	melbourne | 墨尔本 melbourne moerben | meb | 尔本 erben 本 ben | australia | 澳大利亚 australia aodaliya | adly | 大利亚 daliya 利亚 liya 亚 ya
201000933	Australia/NSW	New South Wales	Australia	New South Wales	新南威尔士	澳大利亚	xin nan wei er shi	new south wales | 新南威尔士 new south wales xinnanweiershi | nsw | xnwes | southwales wales | 南威尔士 nanweiershi 威尔士 weiershi 尔士 ershi 士 shi | australia | 澳大利亚 australia aodaliya | adly | 大利亚 daliya 利亚 liya 亚 ya
201000096	Australia/Perth	Perth	Australia	Perth	珀斯	澳大利亚	po si	perth | 珀斯 perth posi | ps | 斯 si | australia | 澳大利亚 australia aodaliya | adly | 大利亚 daliya 利亚 liya 亚 ya
201000934	Australia/Queensland	Queensland	Australia	Queensland	昆士兰	澳大利亚	kun shi lan	queensland | 昆士兰 queensland kunshilan | ksl | 士兰 shilan 兰 lan | australia | 澳大利亚 australia aodaliya | adly | 大利亚 daliya 利亚 liya 亚 ya
201000104	Australia/Sydney	Sydney	Australia	Sydney	悉尼	澳大利亚	xi ni	sydney | 悉尼 sydney xini | xn | 尼 ni | australia | 澳大利亚 australia aodaliya | adly | 大利亚 daliya 利亚 liya 亚 ya
201000935	Canada/Newfoundland	Newfoundland	United States	Newfoundland	纽芬兰	加拿大	niu fen lan	newfoundland | 纽芬兰 newfoundland niufenlan | nfl | 芬兰 fenlan 兰 lan | united states | 加拿大 united states jianada | us | jnd | states | 拿大 nada 大 da
201000936	Canada/Saskatchewan	Saskatoon	Canada	Saskatoon	萨斯卡通	加拿大	sa si ka tong	saskatoon | 萨斯卡通 saskatoon sasikatong | sskt | 斯卡通 sikatong 卡通 katong 通 tong | canada | 加拿大 canada jianada | jnd | 拿大 nada 大 da
201000937	Chile/EasterIsland	Easter Island	Republic of Chile	Easter Island	复活节岛	智利共和国	fu huo jie dao	easter island | 复活节岛 easter island fuhuojiedao | ei | fhjd | island | 活节岛 huojiedao 节岛 jiedao 岛 dao | republic of chile | 智利共和国 republic of chile zhiligongheguo | roc | zlghg | ofchile chile | 利共和国 ligongheguo 共和国 gongheguo 和国 heguo 国 guo
201000403	Europe/Amsterdam	Amsterdam	Netherlands	Amsterdam	阿姆斯特丹	荷兰	a mu si te dan	amsterdam | 阿姆斯特丹 amsterdam amusitedan | amstd | 姆斯特丹 musitedan 斯特丹 sitedan 特丹 tedan 丹 dan | netherlands | 荷兰 netherlands helan | hl | 兰 lan
201000458	Africa/Johannesburg	Johannesburg	South Africa	Johannesburg	约翰内斯堡	南非	yue han nei si bao	johannesburg | 约翰内斯堡 johannesburg yuehanneisibao | yhnsb | 翰内斯堡 hanneisibao 内斯堡 neisibao 斯堡 sibao 堡 bao | south africa | 南非 south africa nanfei | sa | nf | africa | 非 fei
201000754	Europe/Andorra	Andorra la Vella	Andorra	Andorra la Vella	安道尔城	安道尔	an dao er cheng	andorra la vella | 安道尔城 andorra la vella andaoercheng | alv | adec | lavella vella | 道尔城 daoercheng 尔城 ercheng 城 cheng | andorra | 安道尔 andorra andaoer | ade | 道尔 daoer 尔 er
201000392	Europe/Athens	Athens	Greece	Athens	雅典	希腊	ya dian	athens | 雅典 athens yadian | yd | 典 dian | greece | 希腊 greece xila | xl | 腊 la
201000110	Europe/Belfast	Belfast	United Kingdom	Belfast	贝尔法斯特	英国	bei er fa si te	belfast | 贝尔法斯特 belfast beierfasite | befst | 尔法斯特 erfasite 法斯特 fasite 斯特 site 特 te | united kingdom | 英国 united kingdom yingguo | uk | yg | kingdom | 国 guo
201000902	Europe/Belgrade	Belgrade	Serbia	Belgrade	贝尔格莱德	塞尔维亚	bei er ge lai de	belgrade | 贝尔格莱德 belgrade beiergelaide | begld | 尔格莱德 ergelaide 格莱德 gelaide 莱德 laide 德 de | serbia | 塞尔维亚 serbia saierweiya | sewy | 尔维亚 erweiya 维亚 weiya 亚 ya
201000260	Europe/Berlin	Berlin	Germany	Berlin	柏林	德国	bo lin	berlin | 柏林 berlin bolin | bl | 林 lin | germany | 德国 germany deguo | dg | 国 guo
201000938	Europe/Bratislava	Bratislava	Slovakia	Bratislava	布拉迪斯拉发	斯洛伐克	bu la di si la fa	bratislava | 布拉迪斯拉发 bratislava buladisilafa | bldslf | 拉迪斯拉发 ladisilafa 迪斯拉发 disilafa 斯拉发 silafa 拉发 lafa 发 fa | slovakia | 斯洛伐克 slovakia siluofake | slfk | 洛伐克 luofake 伐克 fake 克 ke
201000522	Europe/Brussels	Brussels	Belgium	Brussels	布鲁塞尔	比利时	bu lu sai er	brussels | 布鲁塞尔 brussels bulusaier | blse | 鲁塞尔 lusaier 塞尔 saier 尔 er | belgium | 比利时 belgium bilishi | bls | 利时 lishi 时 shi
201000607	Europe/Bucharest	Bucharest	Romania	Bucharest	布加勒斯特	罗马尼亚	bu jia le si te	bucharest | 布加勒斯特 bucharest bujialesite | bjlst | 加勒斯特 jialesite 勒斯特 lesite 斯特 site 特 te | romania | 罗马尼亚 romania luomaniya | lmny | 马尼亚 maniya 尼亚 niya 亚 ya
201000454	Europe/Budapest	Budapest	Hungary	Budapest	布达佩斯	匈牙利	bu da pei si	budapest | 布达佩斯 budapest budapeisi | bdps | 达佩斯 dapeisi 佩斯 peisi 斯 si | hungary | 匈牙利 hungary xiongyali | xyl | 牙利 yali 利 li
201000939	Europe/Chisinau	Chisinau	Moldova	Chisinau	基希讷乌	摩尔多瓦	ji xi ne wu	chisinau | 基希讷乌 chisinau jixinewu | jxnw | 希讷乌 xinewu 讷乌 newu 乌 wu | moldova | 摩尔多瓦 moldova moerduowa | medw | 尔多瓦 erduowa 多瓦 duowa 瓦 wa
201000668	Africa/Kampala	Kampala	Uganda	Kampala	坎帕拉	乌干达	kan pa la	kampala | 坎帕拉 kampala kanpala | kpl | 帕拉 pala 拉 la | uganda | 乌干达 uganda wuganda | wgd | 干达 ganda 达 da
201000344	Europe/Copenhagen	Copenhagen	Denmark	Copenhagen	哥本哈根	丹麦	ge ben ha gen	copenhagen | 哥本哈根 copenhagen gebenhagen | gbhg | 本哈根 benhagen 哈根 hagen 根 gen | denmark | 丹麦 denmark danmai | dm | 麦 mai
201000940	Europe/Dublin	Dublin	Ireland	Dublin	都柏林	爱尔兰共和国	du bo lin	dublin | 都柏林 dublin dubolin | dbl | 柏林 bolin 林 lin | ireland | 爱尔兰共和国 ireland aierlangongheguo | aelghg | 尔兰共和国 erlangongheguo 兰共和国 langongheguo 共和国 gongheguo 和国 heguo 国 guo
201000941	Europe/Gibraltar	Gibraltar	Gibraltar	Gibraltar	直布罗陀	直布罗陀	zhi bu luo tuo	gibraltar | 直布罗陀 gibraltar zhibuluotuo | zblt | 布罗陀 buluotuo 罗陀 luotuo 陀 tuo
201000616	Europe/Helsinki	Helsinki	Finland	Helsinki	赫尔辛基	芬兰	he er xin ji	helsinki | 赫尔辛基 helsinki heerxinji | hexj | 尔辛基 erxinji 辛基 xinji 基 ji | finland | 芬兰 finland fenlan | fl | 兰 lan
201000429	Europe/Kiev	Kiev	Ukraine	Kiev	基辅	乌克兰	ji fu	kiev | 基辅 kiev jifu | jf | 辅 fu | ukraine | 乌克兰 ukraine wukelan | wkl | 克兰 kelan 兰 lan
201000412	Europe/Lisbon	Lisbon	Portugal	Lisbon	里斯本	葡萄牙	li si ben	lisbon | 里斯本 lisbon lisiben | lsb | 斯本 siben 本 ben | portugal | 葡萄牙 portugal putaoya | pty | 萄牙 taoya 牙 ya
201000135	Europe/London	London	United Kingdom	London	伦敦	英国	lun dun	london | 伦敦 london lundun | ld | 敦 dun | united kingdom | 英国 united kingdom yingguo | uk | yg | kingdom | 国 guo
201000705	Europe/Luxembourg	Luxembourg	Luxembourg	Luxembourg	卢森堡	卢森堡	lu sen bao	luxembourg | 卢森堡 luxembourg lusenbao | lsb | 森堡 senbao 堡 bao
201000942	Africa/Khartoum	Khartoum	Sudan	Khartoum	喀土木	苏丹共和国	ka tu mu	khartoum | 喀土木 khartoum katumu | ktm | 土木 tumu 木 mu | sudan | 苏丹共和国 sudan sudangongheguo | sdghg | 丹共和国 dangongheguo 共和国 gongheguo 和国 heguo 国 guo
201000321	Europe/Madrid	Madrid	Spain	Madrid	马德里	西班牙	ma de li	madrid | 马德里 madrid madeli | mdl | 德里 deli 里 li | spain | 西班牙 spain xibanya | xby | 班牙 banya 牙 ya
201000943	Europe/Malta	Malta	Malta	Malta	马耳他	马耳他	ma er ta	malta | 马耳他 malta maerta | met | 耳他 erta 他 ta
201000944	Europe/Minsk	Minsk	Belarus	Minsk	明斯克	白俄罗斯共和国	ming si ke	minsk | 明斯克 minsk mingsike | msk | 斯克 sike 克 ke | belarus | 白俄罗斯共和国 belarus baieluosigongheguo | belsghg | 俄罗斯共和国 eluosigongheguo 罗斯共和国 luosigongheguo 斯共和国 sigongheguo 共和国 gongheguo 和国 heguo 国 guo
201000945	Europe/Monaco	Monaco	Monaco	Monaco	摩纳哥	摩纳哥	mo na ge	monaco | 摩纳哥 monaco monage | mng | 纳哥 nage 哥 ge
201000244	Europe/Moscow	Moscow	Russia	Moscow	莫斯科	俄罗斯	mo si ke	moscow | 莫斯科 moscow mosike | msk | 斯科 sike 科 ke | russia | 俄罗斯 russia eluosi | els | 罗斯 luosi 斯 si
201000399	Europe/Oslo	Oslo	Norway	Oslo	奥斯陆	挪威	ao si lu	oslo | 奥斯陆 oslo aosilu | asl | 斯陆 silu 陆 lu | norway | 挪威 norway nuowei | nw | 威 wei
201000328	Europe/Paris	Paris	France	Paris	巴黎	法国	ba li	paris | 巴黎 paris bali | bl | 黎 li | france | 法国 france faguo | fg | 国 guo
201000946	Europe/Prague	Prague	Czech Republic	Prague	布拉格	捷克共和国	bu la ge	prague | 布拉格 prague bulage | blg | 拉格 lage 格 ge | czech republic | 捷克共和国 czech republic jiekegongheguo | cr | jkghg | republic | 克共和国 kegongheguo 共和国 gongheguo 和国 heguo 国 guo
201000788	Europe/Riga	Riga	Latvia	Riga	里加	拉脱维亚	li jia	riga | 里加 riga lijia | lj | 加 jia | latvia | 拉脱维亚 latvia latuoweiya | ltwy | 脱维亚 tuoweiya 维亚 weiya 亚 ya
201000304	Europe/Rome	Rome	Italy	Rome	罗马	意大利	luo ma	rome | 罗马 rome luoma | lm | 马 ma | italy | 意大利 italy yidali | ydl | 大利 dali 利 li
201000907	Africa/Kigali	Kigali	Rwanda	Kigali	基加利	卢旺达	ji jia li	kigali | 基加利 kigali jijiali | jjl | 加利 jiali 利 li | rwanda | 卢旺达 rwanda luwangda | lwd | 旺达 wangda 达 da
201000718	Europe/San_Marino	San Marino	San Marino	San Marino	圣马力诺	圣马力诺	sheng ma li nuo	san marino | 圣马力诺 san marino shengmalinuo | sm | smln | marino | 马力诺 malinuo 力诺 linuo 诺 nuo
201000947	Europe/Sarajevo	Sarajevo	Bosnia and Herzegovina	Sarajevo	萨拉热窝	波斯尼亚和黑塞哥维那	sa la re wo	sarajevo | 萨拉热窝 sarajevo salarewo | slrw | 拉热窝 larewo 热窝 rewo 窝 wo | bosnia and herzegovina | 波斯尼亚和黑塞哥维那 bosnia and herzegovina bosiniyaheheisaigeweina | bah | bsnyhhsgwn | andherzegovina herzegovina | 斯尼亚和黑塞哥维那 siniyaheheisaigeweina 尼亚和黑塞哥维那 niyaheheisaigeweina 亚和黑塞哥维那 yaheheisaigeweina 和黑塞哥维那 heheisaigeweina 黑塞哥维那 heisaigeweina 塞哥维那 saigeweina 哥维那 geweina 维那 weina 那 na
201000433	Europe/Simferopol	Simferopol	Ukraine	Simferopol	辛菲罗波尔	乌克兰	xin fei luo bo er	simferopol | 辛菲罗波尔 simferopol xinfeiluoboer | xflbe | 菲罗波尔 feiluoboer 罗波尔 luoboer 波尔 boer 尔 er | ukraine | 乌克兰 ukraine wukelan | wkl | 克兰 kelan 兰 lan
201000948	Europe/Skopje	Skopje	Macedonia (FYROM)	Skopje	斯科普里	马其顿共和国	si ke pu li	skopje | 斯科普里 skopje sikepuli | skpl | 科普里 kepuli 普里 puli 里 li | macedonia (fyrom) | 马其顿共和国 macedonia (fyrom) maqidungongheguo | m( | mqdghg | (fyrom) | 其顿共和国 qidungongheguo 顿共和国 dungongheguo 共和国 gongheguo 和国 heguo 国 guo
201000678	Europe/Sofia	Sofia	Bulgaria	Sofia	索非亚	保加利亚	suo fei ya	sofia | 索非亚 sofia suofeiya | sfy | 非亚 feiya 亚 ya | bulgaria | 保加利亚 bulgaria baojialiya | bjly | 加利亚 jialiya 利亚 liya 亚 ya
201000569	Europe/Stockholm	Stockholm	Sweden	Stockholm	斯德哥尔摩	瑞典	si de ge er mo	stockholm | 斯德哥尔摩 stockholm sidegeermo | sdgem | 德哥尔摩 degeermo 哥尔摩 geermo 尔摩 ermo 摩 mo | sweden | 瑞典 sweden ruidian | rd | 典 dian
201000837	Europe/Tallinn	Tallinn	Estonia	Tallinn	塔林	爱沙尼亚	ta lin	tallinn | 塔林 tallinn talin | tl | 林 lin | estonia | 爱沙尼亚 estonia aishaniya | asny | 沙尼亚 shaniya 尼亚 niya 亚 ya
201000949	Europe/Vatican	Vatican	Vatican	Vatican	梵蒂冈	梵蒂冈	fan di gang	vatican | 梵蒂冈 vatican fandigang | fdg | 蒂冈 digang 冈 gang
201000497	Europe/Vienna	Vienna	Austria	Vienna	维也纳	奥地利	wei ye na	vienna | 维也纳 vienna weiyena | wyn | 也纳 yena 纳 na | austria | 奥地利 austria aodili | adl | 地利 dili 利 li
